Sentiment,SentimentText,Index
0,                     is so sad for my APL friend.............,0
0,                   I missed the New Moon trailer...,1
0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...,2
0,         i think mi bf is cheating on me!!!       T_T,3
0,         or i just worry too much?        ,4
0,       Sunny Again        Work Tomorrow  :-|       TV Tonight,5
0,      I must think about positive..,6
0,      this weekend has sucked so far,7
0,     jb isnt showing in australia any more!,8
0,     ok thats it you win.,9
0,    &lt;-------- This is the way i feel right now...,10
0,"    awhhe man.... I'm completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX",11
0,    HUGE roll of thunder just now...SO scary!!!!,12
0,    I just cut my beard off. It's only been growing for well over a year. I'm gonna start it over. @shaunamanu is happy in the meantime.,13
0,    Very sad about Iran.,14
0,    wompppp wompp,15
0,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it's all lost *lays in fetal position*,16
0,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!,17
0,   BoRinG   ): whats wrong with him??     Please tell me........   :-/,18
0,   can't be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.,19
0,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. ",20
0,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!,21
0,   I hate it when any athlete appears to tear an ACL on live television.,22
0,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today,23
0,  -- Meet your Meat http://bit.ly/15SSCI,24
0,   My horsie is moving on Saturday morning.,25
0,   No Sat off...Need to work 6 days a week ,26
0,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay,27
0,"   SOX!     Floyd was great, but relievers need a scolding!",28
0,   times by like a million,29
0,   what type of a spaz downloads a virus? my brother that's who :\ MSN is now fucked forever    :'(,30
0,  &amp;&amp;Fightiin Wiit The Babes...,31
0,  *enough said*,32
0,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now,33
0, - All Time Low shall be my motivation for the rest of the week.,34
0,"  and the entertainment is over, someone complained properly..   @rupturerapture experimental you say? he should experiment with a melody",35
0,  another year of Lakers .. That's neither magic nor fun ...,36
0,  baddest day eveer. ,37
0,  but i'm proud.,38
0,  congrats to helio though,39
0,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. ,40
0,  friends are leaving me 'cause of this stupid love  http://bit.ly/ZoxZC,41
0,  Hand quilting it is then...,42
0,  hate u ...  leysh t9ar5 ... =((((((( ..,43
0, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us,44
0,  I miss Earl,45
0,  I miss New Jersey,46
0,"  I missed the first hour of SYTYCD last night, and I can't find it online!",47
0,  I need a U2 fix NOW!,48
0,  I never thought I'd become second choice...,49
0,  I think I may be too friendly...lol... o well...,50
0,  I think Manuel (my Basil plant) only has days to live   ,51
0,  I wanna be at home @ church...I wonder wht they are doing?,52
0,  i wanna make my own pizza,53
0,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x",54
0,  i want a hug,55
0,  I want Miley to tour Australia,56
0,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels,57
0,  i was too slow to get $1 Up tix,58
0,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat",59
0,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   ,60
0,"  i would be so much happier if the walls of my bedroom were painted white,",61
0,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall,62
0,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me,63
0,  im sick  'cough cough',64
0,  in cab headed to the airport!  going home.... &lt;christy&gt;,65
0,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work,66
0,  jonas day is almost over... ,67
0,  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.,68
0, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6,69
0,  mi momacita won't let me go to my bf's bball game!!! grrr!!!,70
0,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....,71
